Temp_ID,Easting,Northing,Tree_Height,Crown_Diameter,Plot_Number,Date
1,476979.95,5429132.273,46.29,2.14,br01,2026-03-08
2,476976.825,5429134.233,44.11,3.13,br01,2026-03-08
3,476978.746,5429133.329,47.46,3.86,br01,2026-03-08
4,476981.104,5429129.831,41.67,1.86,br01,2026-03-08
5,476982.458,5429150.536,47.58,3.68,br01,2026-03-08
6,476981.127,5429133.948,46.58,4.52,br01,2026-03-08
7,476984.766,5429150.297,47.51,3.04,br01,2026-03-08
8,476948.305,5429126.097,40.78,4.7,br01,2026-03-08
9,476978.268,5429135.953,44.86,2.35,br01,2026-03-08
10,476984.648,5429147.386,47.02,4.14,br01,2026-03-08
11,476992.633,5429144.702,43.22,4.91,br01,2026-03-08
12,477034.166,5429227.757,47.62,1.28,br01,2026-03-08
13,476941.367,5429128.438,40.93,4.11,br01,2026-03-08
14,476979.868,5429136.451,42.77,2.76,br01,2026-03-08
15,476980.184,5429130.268,42.67,2.24,br01,2026-03-08
16,476982.869,5429152.298,44.07,1.61,br01,2026-03-08
17,476992.698,5429142.834,41.0,1.16,br01,2026-03-08
18,476945.026,5429129.193,40.36,2.71,br01,2026-03-08
19,476984.86,5429148.908,47.33,2.55,br01,2026-03-08
20,476994.128,5429160.591,43.07,1.91,br01,2026-03-08
21,476995.891,5429159.862,43.57,3.4,br01,2026-03-08
22,476941.386,5429130.456,40.03,2.39,br01,2026-03-08
23,477032.672,5429229.752,47.36,3.18,br01,2026-03-08
24,476981.602,5429131.279,43.15,1.97,br01,2026-03-08
25,476940.451,5429127.709,40.38,2.27,br01,2026-03-08
26,476976.69,5429137.513,31.92,3.05,br01,2026-03-08
27,476947.257,5429130.021,41.92,4.17,br01,2026-03-08
28,476942.55,5429125.957,39.92,2.2,br01,2026-03-08
29,476982.088,5429129.266,41.93,4.07,br01,2026-03-08
30,476981.258,5429148.406,44.01,2.8,br01,2026-03-08
31,477002.412,5429213.973,48.62,5.69,br01,2026-03-08
32,476940.094,5429123.668,38.09,2.01,br01,2026-03-08
33,476971.898,5429148.607,44.63,3.64,br01,2026-03-08
34,476970.189,5429151.936,45.05,2.58,br01,2026-03-08
35,476942.702,5429121.59,38.43,2.4,br01,2026-03-08
36,476973.188,5429135.365,41.11,5.05,br01,2026-03-08
37,476992.645,5429152.047,34.57,3.27,br01,2026-03-08
38,476982.079,5429136.732,40.83,4.62,br01,2026-03-08
39,476991.116,5429146.849,40.57,3.19,br01,2026-03-08
40,476940.976,5429122.281,38.93,2.4,br01,2026-03-08
41,476992.245,5429157.613,42.19,3.28,br01,2026-03-08
42,476975.381,5429136.753,42.23,2.29,br01,2026-03-08
43,476975.298,5429133.005,31.31,2.37,br01,2026-03-08
44,477033.005,5429225.979,43.55,3.79,br01,2026-03-08
45,476972.911,5429154.526,44.18,5.66,br01,2026-03-08
46,476946.464,5429127.782,40.69,2.43,br01,2026-03-08
47,476941.864,5429123.782,38.39,1.72,br01,2026-03-08
48,477034.409,5429228.747,48.79,1.63,br01,2026-03-08
49,477000.274,5429155.426,38.36,4.07,br01,2026-03-08
50,476944.539,5429121.957,40.2,4.27,br01,2026-03-08
51,476989.177,5429145.474,41.48,3.95,br01,2026-03-08
52,476942.429,5429131.332,40.83,2.06,br01,2026-03-08
53,476984.273,5429152.994,43.66,3.62,br01,2026-03-08
54,476943.748,5429129.683,40.67,2.07,br01,2026-03-08
55,476981.23,5429153.587,41.57,4.56,br01,2026-03-08
56,476942.812,5429132.603,37.73,1.68,br01,2026-03-08
57,476991.552,5429154.017,31.18,2.7,br01,2026-03-08
58,476974.761,5429133.727,31.46,1.15,br01,2026-03-08
59,476942.632,5429129.881,40.52,1.14,br01,2026-03-08
60,476994.847,5429161.795,42.09,1.85,br01,2026-03-08
61,476958.059,5429121.018,35.88,3.19,br01,2026-03-08
62,476938.205,5429125.593,37.85,3.68,br01,2026-03-08
63,476941.025,5429124.915,38.77,2.55,br01,2026-03-08
64,476976.111,5429135.559,41.68,1.67,br01,2026-03-08
65,477006.633,5429200.604,43.59,1.9,br01,2026-03-08
66,476997.824,5429156.353,40.22,3.18,br01,2026-03-08
67,476972.001,5429152.953,44.74,1.92,br01,2026-03-08
68,476943.599,5429128.059,40.05,1.33,br01,2026-03-08
69,477005.576,5429202.0,44.83,4.64,br01,2026-03-08
70,476977.824,5429129.619,42.13,1.95,br01,2026-03-08
71,476955.664,5429121.399,35.9,4.22,br01,2026-03-08
72,476985.562,5429144.245,39.6,2.57,br01,2026-03-08
73,476979.226,5429129.143,42.13,2.47,br01,2026-03-08
74,476991.735,5429142.195,40.49,3.5,br01,2026-03-08
75,476966.853,5429153.311,42.67,4.07,br01,2026-03-08
76,476959.576,5429114.507,33.85,1.83,br01,2026-03-08
77,476989.701,5429153.665,44.0,2.3,br01,2026-03-08
78,477011.909,5429188.895,43.42,3.21,br01,2026-03-08
79,476945.327,5429127.5,40.75,1.55,br01,2026-03-08
80,476945.238,5429126.721,40.54,1.11,br01,2026-03-08
81,476964.589,5429112.119,32.96,3.3,br01,2026-03-08
82,476979.608,5429127.055,37.2,1.83,br01,2026-03-08
83,476980.932,5429149.753,41.97,1.51,br01,2026-03-08
84,476979.243,5429138.726,38.47,2.93,br01,2026-03-08
85,476995.203,5429157.242,43.84,4.29,br01,2026-03-08
86,476986.653,5429143.377,39.09,2.67,br01,2026-03-08
87,476958.25,5429114.48,34.62,2.75,br01,2026-03-08
88,476989.825,5429143.595,40.59,2.02,br01,2026-03-08
89,476967.985,5429150.844,43.63,3.4,br01,2026-03-08
90,476978.879,5429130.961,43.48,1.47,br01,2026-03-08
91,476996.91,5429160.272,42.16,2.71,br01,2026-03-08
92,476971.571,5429150.665,44.39,1.33,br01,2026-03-08
93,476987.591,5429153.87,42.06,2.55,br01,2026-03-08
94,476955.893,5429115.057,33.84,2.43,br01,2026-03-08
95,477001.276,5429217.253,48.73,5.06,br01,2026-03-08
96,476998.486,5429241.978,49.23,4.24,br01,2026-03-08
97,477032.442,5429231.896,45.08,2.6,br01,2026-03-08
98,477030.224,5429230.277,43.44,4.11,br01,2026-03-08
99,476979.201,5429151.062,39.88,3.71,br01,2026-03-08
100,476944.451,5429124.492,40.08,1.86,br01,2026-03-08
101,477009.218,5429189.951,41.96,2.57,br01,2026-03-08
102,477034.61,5429230.711,48.64,3.19,br01,2026-03-08
103,476938.911,5429130.402,37.13,2.4,br01,2026-03-08
104,476991.429,5429140.635,37.36,2.67,br01,2026-03-08
105,477009.007,5429189.083,41.24,1.48,br01,2026-03-08
106,476936.092,5429130.51,36.59,3.42,br01,2026-03-08
107,476957.233,5429115.822,33.24,0.97,br01,2026-03-08
108,476963.031,5429114.552,31.99,4.3,br01,2026-03-08
109,476988.086,5429178.955,43.5,2.07,br01,2026-03-08
110,476944.224,5429132.058,40.26,3.46,br01,2026-03-08
111,476980.857,5429146.297,43.44,3.88,br01,2026-03-08
112,476945.604,5429124.863,39.96,2.62,br01,2026-03-08
113,476973.945,5429150.11,40.57,2.38,br01,2026-03-08
114,476956.842,5429118.992,34.58,2.5,br01,2026-03-08
115,476975.982,5429132.129,30.92,2.01,br01,2026-03-08
116,477011.718,5429191.129,40.82,2.56,br01,2026-03-08
117,477031.277,5429228.19,45.48,3.41,br01,2026-03-08
118,476950.423,5429122.487,35.07,3.13,br01,2026-03-08
119,476988.237,5429152.097,43.25,3.42,br01,2026-03-08
120,476963.857,5429111.185,31.98,1.81,br01,2026-03-08
121,476968.978,5429154.261,42.53,2.64,br01,2026-03-08
122,476982.613,5429142.304,38.83,2.17,br01,2026-03-08
123,476974.175,5429151.419,41.24,2.35,br01,2026-03-08
124,476953.863,5429118.511,34.15,2.04,br01,2026-03-08
125,476958.463,5429118.735,33.18,1.14,br01,2026-03-08
126,476993.045,5429159.821,44.07,3.86,br01,2026-03-08
127,476983.62,5429120.179,35.51,2.45,br01,2026-03-08
128,476986.383,5429180.506,46.0,2.34,br01,2026-03-08
129,476952.687,5429117.697,34.46,3.05,br01,2026-03-08
130,476999.701,5429214.699,48.02,2.9,br01,2026-03-08
131,476939.035,5429126.907,37.32,2.44,br01,2026-03-08
132,476950.256,5429119.178,34.73,4.24,br01,2026-03-08
133,477000.043,5429173.273,41.79,3.69,br01,2026-03-08
134,476984.967,5429122.955,35.27,4.03,br01,2026-03-08
135,476960.594,5429113.47,33.92,3.44,br01,2026-03-08
136,476964.919,5429154.509,42.22,4.28,br01,2026-03-08
137,476965.317,5429117.116,32.48,5.09,br01,2026-03-08
138,477008.054,5429219.733,46.74,2.91,br01,2026-03-08
139,476990.434,5429155.593,41.06,2.56,br01,2026-03-08
140,476984.06,5429144.527,40.47,2.87,br01,2026-03-08
141,476962.278,5429112.091,33.23,2.5,br01,2026-03-08
142,476977.227,5429117.343,30.51,2.25,br01,2026-03-08
143,476988.865,5429155.165,41.84,1.13,br01,2026-03-08
144,476944.767,5429126.116,39.3,0.89,br01,2026-03-08
145,476970.477,5429154.548,43.96,2.71,br01,2026-03-08
146,476959.753,5429117.388,33.51,3.59,br01,2026-03-08
147,476985.484,5429179.405,43.35,2.74,br01,2026-03-08
148,476972.546,5429149.651,44.77,1.81,br01,2026-03-08
149,477005.405,5429239.334,48.29,2.84,br01,2026-03-08
150,477007.059,5429173.992,37.74,2.02,br01,2026-03-08
151,476968.022,5429155.854,43.53,3.79,br01,2026-03-08
152,476968.061,5429148.942,40.4,2.72,br01,2026-03-08
153,476978.059,5429190.701,46.54,1.92,br01,2026-03-08
154,476971.749,5429151.82,44.33,2.51,br01,2026-03-08
155,476948.426,5429123.364,35.75,4.62,br01,2026-03-08
156,476987.64,5429179.845,45.15,1.42,br01,2026-03-08
