Tree_ID,Specie,Wood_Density,Northing [m],Easting [m]
CarBet_BR01_P17T10,Carpinus betulus,0.7,5429083.365,476773.83675
CarBet_BR01_P17T28,Carpinus betulus,0.7,5429088.036,476764.08825
CarBet_BR01_P18T22,Carpinus betulus,0.7,5429081.309,476777.68525
CarBet_BR01_P18T23,Carpinus betulus,0.7,5429082.0335,476772.507
CarBet_BR01_P21T46,Carpinus betulus,0.7,5429095.6825,476768.1595
CarBet_BR01_P22T18,Carpinus betulus,0.7,5429094.21725,476779.977
CarBet_BR01_P22T20,Carpinus betulus,0.7,5429092.20175,476775.6485
CarBet_BR01_P22T21,Carpinus betulus,0.7,5429086.17825,476775.54975
CarBet_BR01_P22T24,Carpinus betulus,0.7,5429086.48575,476778.03575
CarBet_BR01_P22T25,Carpinus betulus,0.7,5429094.6735,476772.88
CarBet_BR01_P22T26,Carpinus betulus,0.7,5429093.24875,476771.43275
CarBet_BR01_P22T27,Carpinus betulus,0.7,5429090.927938,476777.408562
CarBet_BR01_P22T34,Carpinus betulus,0.7,5429096.238,476769.62625
CarBet_BR01_P22T35,Carpinus betulus,0.7,5429099.677,476768.01025
FagSyl_BR01_P16T2,Fagus sylvatica,0.58,5429086.83675,476765.046
FagSyl_BR01_P16T9,Fagus sylvatica,0.58,5429086.2775,476763.7835
FagSyl_BR01_P17T30,Fagus sylvatica,0.58,5429086.607,476764.3655
FagSyl_BR01_P17T32,Fagus sylvatica,0.58,5429088.0485,476765.17375
FagSyl_BR01_P22T10,Fagus sylvatica,0.58,5429080.1155,476783.25225
FagSyl_BR01_P22T11,Fagus sylvatica,0.58,5429082.04975,476775.9475
FagSyl_BR01_P22T12,Fagus sylvatica,0.58,5429099.18175,476774.362
FagSyl_BR01_P22T17,Fagus sylvatica,0.58,5429085.212,476768.7855
FagSyl_BR01_P22T2,Fagus sylvatica,0.58,5429089.52475,476787.1205
FagSyl_BR01_P22T22,Fagus sylvatica,0.58,5429088.465,476777.05625
FagSyl_BR01_P22T29,Fagus sylvatica,0.58,5429095.0195,476762.80175
FagSyl_BR01_P22T3,Fagus sylvatica,0.58,5429100.35075,476781.438
FagSyl_BR01_P22T36,Fagus sylvatica,0.58,5429100.16225,476767.36225
FagSyl_BR01_P22T36a,Fagus sylvatica,0.58,5429099.21475,476766.66125
FagSyl_BR01_P22T37,Fagus sylvatica,0.58,5429098.10625,476765.4855
FagSyl_BR01_P22T8,Fagus sylvatica,0.58,5429099.796,476786.62925
FagSyl_BR01_P22T9,Fagus sylvatica,0.58,5429094.23225,476783.90625
FraExc_BR01_P22T28,Fraxinus excelsior,0.56,5429102.3075,476771.0795
FraExc_BR01_P22T31,Fraxinus excelsior,0.56,5429101.431,476771.19125
FraExc_BR01_P22T32,Fraxinus excelsior,0.56,5429097.01875,476768.13625
FraExc_BR01_P22T33,Fraxinus excelsior,0.56,5429090.18075,476765.3225
LarDec_BR01_P22T4,Larix decidua,0.46,5429100.76625,476776.15275
PicAbi_BR01_P17T19,Picea abies,0.38,5429081.47675,476762.738
PicAbi_BR01_P17T21,Picea abies,0.38,5429084.407708,476762.686625
PicAbi_BR01_P17T22,Picea abies,0.38,5429083.5415,476765.42825
PruAvi_BR01_P17T2,Prunus avium,0.49,5429080.64775,476768.76675
PruAvi_BR01_P22T14,Prunus avium,0.49,5429083.9495,476781.42275
PruAvi_BR01_P22T15,Prunus avium,0.49,5429091.56975,476779.4325
PruAvi_BR01_P22T16,Prunus avium,0.49,5429085.66125,476784.1215
PruAvi_BR01_P22T19,Prunus avium,0.49,5429090.13125,476776.1345
PruAvi_BR01_P22T23,Prunus avium,0.49,5429092.8215,476772.8275
PseMen_BR01_P22T1,Pseudotsuga menziesii,0.45,5429086.50025,476776.15275
PseMen_BR01_P22T7,Pseudotsuga menziesii,0.45,5429087.4975,476772.8545
QuePet_BR01_P17T20,Quercus petraea,0.58,5429081.04675,476763.37225
QuePet_BR01_P17T36,Quercus petraea,0.58,5429079.02775,476763.80475
QuePet_BR01_P22T30,Quercus petraea,0.58,5429090.92475,476763.29625
QuePet_BR01_P22T6,Quercus petraea,0.58,5429090.51625,476770.6655
