Tree_ID,Plot,Scan_Date,Easting,Northing,Species,Height,DBH,Crown,Biomass,Match_Confidence
PseMen_BR01_P22T1,BR01,06/06/2026,476777.012,5429087.02,Pseudotsuga menziesii,36.01,56.906,11,2720.746,0.665
FagSyl_BR01_P22T2,BR01,06/06/2026,476785.732,5429090.281,Fagus sylvatica,28.22,41.496,10.68,1483.244,0.473
CarBet_BR01_T80,BR01,06/06/2026,476782.488,5429091.431,Carpinus betulus,29.33,37.264,4.2,1353.397,1
FagSyl_BR01_P22T11,BR01,06/06/2026,476776.136,5429083.126,Fagus sylvatica,28.28,31.81,2.94,884.645,0.636
PruAvi_BR01_P22T19,BR01,06/06/2026,476776.779,5429089.823,Prunus avium,28.57,33.072,2.35,882.802,0.762
PruAvi_BR01_P22T16,BR01,06/06/2026,476785.039,5429086.013,Prunus avium,26.31,31.245,2.5,729.051,0.672
PruAvi_BR01_P22T16,BR01,06/06/2026,476782.752,5429087.208,Prunus avium,26.36,31.299,3.09,732.869,0.311
FagSyl_BR01_P22T8,BR01,06/06/2026,476786.443,5429098.391,Fagus sylvatica,26.91,31.327,8.37,817.994,0.528
FagSyl_BR01_P22T3,BR01,06/06/2026,476780.937,5429100.914,Fagus sylvatica,28.48,33.082,6.72,961.601,0.749
FagSyl_BR01_P22T3,BR01,06/06/2026,476783.833,5429101.336,Fagus sylvatica,27.61,31.861,3.95,866.89,0.137
CarBet_BR01_T81,BR01,06/06/2026,476785.124,5429082.657,Carpinus betulus,23.89,31.351,4.89,790.666,1
PruAvi_BR01_P22T14,BR01,06/06/2026,476781.381,5429081.944,Prunus avium,24.65,31.422,3.4,691.707,0.331
FagSyl_BR01_P22T8,BR01,06/06/2026,476784.72,5429101.653,Fagus sylvatica,27.28,31.693,1.95,847.979,0.112
LarDec_BR01_P22T4,BR01,06/06/2026,476776.446,5429102.078,Larix decidua,29.73,37.909,5.9,1043.302,0.552
FagSyl_BR01_P22T8,BR01,06/06/2026,476786.172,5429102.756,Fagus sylvatica,26.49,31.356,3.93,806.987,0.002
PruAvi_BR01_P22T14,BR01,06/06/2026,476782.589,5429083.5,Prunus avium,23.45,30.56,3.45,624.004,0.583
QuePet_BR01_P22T6,BR01,06/06/2026,476769.17,5429092.049,Quercus petraea,25.83,30.728,7.94,845.9,0.286
FagSyl_BR01_P22T11,BR01,06/06/2026,476776.836,5429081.759,Fagus sylvatica,23.23,30.448,3.25,670.334,0.688
FagSyl_BR01_P22T9,BR01,06/06/2026,476783.095,5429094.078,Fagus sylvatica,23.79,31.164,2.44,717.948,0.725
CarBet_BR01_P18T23,BR01,06/06/2026,476772.05,5429082.23,Carpinus betulus,23.09,30.448,4.37,722.404,0.834
CarBet_BR01_P18T23,BR01,06/06/2026,476774.192,5429081.648,Carpinus betulus,22.86,26.667,1.88,552.244,0.424
CarBet_BR01_P22T18,BR01,06/06/2026,476779.874,5429094.26,Carpinus betulus,23.74,31.174,7.35,777.184,0.963
CarBet_BR01_P22T25,BR01,06/06/2026,476771.881,5429095.985,Carpinus betulus,24.9,31.281,1.99,819.69,0.45
QuePet_BR01_P22T6,BR01,06/06/2026,476771.092,5429088.772,Quercus petraea,24.1,31.527,3.7,831.181,0.401
FagSyl_BR01_P22T9,BR01,06/06/2026,476783.16,5429095.919,Fagus sylvatica,23.22,30.448,3.24,670.053,0.385
PseMen_BR01_P22T7,BR01,06/06/2026,476771.624,5429086.901,Pseudotsuga menziesii,22.98,28.058,2.85,441.403,0.544
CarBet_BR01_P18T23,BR01,06/06/2026,476771.177,5429083.543,Carpinus betulus,20.51,20.677,2.34,302.33,0.329
