Unnamed: 0,Tree_ID,Species,Latitude,Longitude,Month,Year,Height,CrownDiameter,CrownAreaConvex,CrownAreaConcave,CrownBaseHeight,Predicted_DBH,Biomass_kg
0,AceCam_BR01_1_1,Acer campestre,49.014,8.682842,Jun,2019,10.1,7.7,47.02215,39.8905,1.2,17.0,132.20678614550303
1,AceCam_BR01_1_1,Acer campestre,49.014,8.682842,Jul,2019,10.805,8.354,49.497,41.99,0.95,17.052,144.28430276101216
2,AceCam_BR01_1_1,Acer campestre,49.014,8.682842,Sep,2019,11.805001,8.177,47.162,41.405,1.35,17.142,161.9727285821014
3,AceCam_BR01_1_1,Acer campestre,49.014,8.682842,Dec,2019,11.805106127472037,8.139,48.565,38.899,1.55,17.172,162.6307607725003
4,AceCam_BR01_1_1,Acer campestre,49.014,8.682842,Mar,2020,12.155156,6.997,34.041,26.926,1.95,17.172,163.6370861
5,AceCam_BR01_2_2,Acer campestre,49.014387,8.682112,Jun,2019,7.106949999999999,3.8,10.71315,9.41355,1.1,6.4,17.09705210421147
6,AceCam_BR01_2_2,Acer campestre,49.014387,8.682112,Jul,2019,7.481,3.876,11.277,9.909,1.35,6.453,17.997952
7,AceCam_BR01_2_2,Acer campestre,49.014387,8.682112,Sep,2019,8.481001,4.01,11.289,9.109,1.25,6.543,16.211725403305103
8,AceCam_BR01_2_2,Acer campestre,49.014387,8.682112,Dec,2019,8.481107627161991,3.951,10.212,8.152,1.25,6.573,16.402247754442698
9,AceCam_BR01_2_2,Acer campestre,49.014387,8.682112,Mar,2020,8.481107627167967,2.825,5.321,4.083,1.75,6.573,16.402247754457417
10,AceCam_BR01_3_3,Acer campestre,49.014377,8.682139,Jun,2019,6.85995,6.2,21.2192,16.7675,1.1,6.4,16.34689
11,AceCam_BR01_3_3,Acer campestre,49.014377,8.682139,Jul,2019,7.221,5.845,22.336,17.65,1.85,6.453,16.516865
12,AceCam_BR01_3_3,Acer campestre,49.014377,8.682139,Sep,2019,8.221001,5.434,19.333,15.171,1.25,5.22,15.576813477709187
13,AceCam_BR01_3_3,Acer campestre,49.014377,8.682139,Dec,2019,8.221107364074646,5.549,20.382,16.297,0.95,5.228,15.589213
14,AceCam_BR01_3_3,Acer campestre,49.014377,8.682139,Mar,2020,7.627105,4.192,10.805,8.189,1.85,5.209,14.900998
15,AceCam_BR01_4_4,Acer campestre,49.013874,8.681704,Jun,2019,17.35935,11.1,124.64665,104.01834999999998,1.1,41.5,1321.1932529390997
16,AceCam_BR01_4_4,Acer campestre,49.013874,8.681704,Jul,2019,18.273,13.375,131.207,109.493,1.75,41.553,1405.9733202566188
17,AceCam_BR01_4_4,Acer campestre,49.013874,8.681704,Sep,2019,19.273001,13.585,130.32,104.902,1.35,41.642,1501.665868369506
18,AceCam_BR01_4_4,Acer campestre,49.013874,8.681704,Dec,2019,19.273107778383505,12.769,127.181,96.74,1.15,41.672,1504.1395178318237
19,AceCam_BR01_4_4,Acer campestre,49.013874,8.681704,Mar,2020,19.273107778389654,12.144,104.153,81.804,0.65,41.672,1504.13951783237
20,AcePse_BR01_1_5,Acer pseudoplatanus,49.014186,8.682164,Jun,2019,11.3943,4.2,13.0872,11.8142,6.5,9.6,39.80474697862448
21,AcePse_BR01_1_5,Acer pseudoplatanus,49.014186,8.682164,Jul,2019,11.994,4.355,13.776,12.436,7.15,9.67,43.77294149542772
22,AcePse_BR01_1_5,Acer pseudoplatanus,49.014186,8.682164,Sep,2019,12.994001,3.8,10.903,9.842,2.55,9.79,50.63760160182571
23,AcePse_BR01_1_5,Acer pseudoplatanus,49.014186,8.682164,Dec,2019,12.99410728748755,4.022,12.276,8.961,2.05,9.83,51.202634775484015
24,AcePse_BR01_1_5,Acer pseudoplatanus,49.014186,8.682164,Mar,2020,12.994107287491108,3.062,6.132,4.369,7.15,9.83,51.20263477550303
25,AcePse_BR01_2_6,Acer pseudoplatanus,49.014256,8.682132,Jun,2019,12.46875,4.2,12.28255,11.112149999999998,7.6,6.8,28.31161045066184
26,AcePse_BR01_2_6,Acer pseudoplatanus,49.014256,8.682132,Jul,2019,13.125,4.049,12.929,11.697,1.05,6.87,30.72889160387362
27,AcePse_BR01_2_6,Acer pseudoplatanus,49.014256,8.682132,Sep,2019,14.125001,4.061,11.55,10.696,1.45,6.99,34.70299552755672
28,AcePse_BR01_2_6,Acer pseudoplatanus,49.014256,8.682132,Dec,2019,14.12510735280123,4.005,12.093,10.711,1.35,7.03,40.14799059058454
29,AcePse_BR01_2_6,Acer pseudoplatanus,49.014256,8.682132,Mar,2020,14.3445177,2.602,5.013,3.632,3.15,7.03,40.9705991
30,AcePse_BR01_3_7,Acer pseudoplatanus,49.013806,8.682009,Jun,2019,12.4507,3.9,10.80055,10.09375,5.7,9.2,40.01198909218193
31,AcePse_BR01_3_7,Acer pseudoplatanus,49.013806,8.682009,Jul,2019,13.106,3.96,11.369,10.625,6.65,9.27,44.03325590045891
32,AcePse_BR01_3_7,Acer pseudoplatanus,49.013806,8.682009,Sep,2019,14.106001,3.932,10.261,8.86,6.45,9.39,50.54666969396777
33,AcePse_BR01_3_7,Acer pseudoplatanus,49.013806,8.682009,Dec,2019,14.106106830510576,3.486,8.739,7.746,4.85,9.43,51.13499166950227
34,AcePse_BR01_3_7,Acer pseudoplatanus,49.013806,8.682009,Mar,2020,14.106106830514744,2.449,4.302,3.138,6.85,9.43,51.134991669522805
35,AcePse_BR01_4_8,Acer pseudoplatanus,49.013762,8.682145,Jun,2019,12.33195,5.9,34.9182,30.59,3.2,11.0,64.26759100604284
36,AcePse_BR01_4_8,Acer pseudoplatanus,49.013762,8.682145,Jul,2019,12.981,7.009,36.756,32.2,5.35,11.07,69.69742476030966
37,AcePse_BR01_4_8,Acer pseudoplatanus,49.013762,8.682145,Sep,2019,13.981001,6.683,34.502,28.945,2.55,11.19,78.4865085438789
38,AcePse_BR01_4_8,Acer pseudoplatanus,49.013762,8.682145,Dec,2019,13.98110654242814,6.557,30.917,23.947,2.75,11.23,79.17561370763302
